names,len,word1,word2,Results_Google,Number_Hits_Google
Macrotyphula juncea,19,Macrotyphula,juncea,"Aproximadamente 12.700 resultados (0,32 segundos) ",12700
Marasmius alliaceus,19,Marasmius,alliaceus,"Aproximadamente 30.300 resultados (0,41 segundos) ",30300
Marasmius cohaerens,19,Marasmius,cohaerens,"Aproximadamente 25.900 resultados (0,43 segundos) ",25900
Melanoleuca cognata,19,Melanoleuca,cognata,"Aproximadamente 47.200 resultados (0,35 segundos) ",47200
Melanoleuca evenosa,19,Melanoleuca,evenosa,"Aproximadamente 51.100 resultados (0,37 segundos) ",51100
Melanoleuca excissa,19,Melanoleuca,excissa,"Aproximadamente 8.510 resultados (0,47 segundos) ",8510
Meripilus giganteus,19,Meripilus,giganteus,"Aproximadamente 55.600 resultados (0,35 segundos) ",55600
Morchella deliciosa,19,Morchella,deliciosa,"Aproximadamente 55.900 resultados (0,39 segundos) ",55900
Morchella esculenta,19,Morchella,esculenta,"Aproximadamente 446.000 resultados (0,36 segundos) ",446000
Morchella hortensis,19,Morchella,hortensis,"Aproximadamente 83.400 resultados (0,36 segundos) ",83400
Morchella importuna,19,Morchella,importuna,"Aproximadamente 28.900 resultados (0,39 segundos) ",28900
Mycena arcangeliana,19,Mycena,arcangeliana,"Aproximadamente 26.600 resultados (0,38 segundos) ",26600
Mycena capillaripes,19,Mycena,capillaripes,"Aproximadamente 45.000 resultados (0,46 segundos) ",45000
Mycena galericulata,19,Mycena,galericulata,"Aproximadamente 52.100 resultados (0,33 segundos) ",52100
Mycena leptocephala,19,Mycena,leptocephala,"Aproximadamente 29.800 resultados (0,40 segundos) ",29800
Naucoria melinoides,19,Naucoria,melinoides,"Aproximadamente 4.480 resultados (0,78 segundos) ",4480
Omphalina obscurata,19,Omphalina,obscurata,"Aproximadamente 13.200 resultados (0,47 segundos) ",13200
Omphalina vesuviana,19,Omphalina,vesuviana,"Aproximadamente 1.040 resultados (0,31 segundos) ",1040
Omphalotus illudens,19,Omphalotus,illudens,"Aproximadamente 58.000 resultados (0,40 segundos) ",58000
Omphalotus olearius,19,Omphalotus,olearius,"Aproximadamente 51.000 resultados (0,35 segundos) ",51000
Panaeolus cinctulus,19,Panaeolus,cinctulus,"Aproximadamente 76.000 resultados (0,42 segundos) ",76000
Panaeolus retirugis,19,Panaeolus,retirugis,"Aproximadamente 16.900 resultados (0,40 segundos) ",16900
Paralepista inversa,19,Paralepista,inversa,"Aproximadamente 3.630 resultados (0,36 segundos) ",3630
Peckiella lateritia,19,Peckiella,lateritia,"Aproximadamente 4.260 resultados (0,40 segundos) ",4260
Peniophora quercina,19,Peniophora,quercina,"Aproximadamente 34.200 resultados (0,34 segundos) ",34200
Peziza badioconfusa,19,Peziza,badioconfusa,"Aproximadamente 12.000 resultados (0,49 segundos) ",12000
Phellinus torulosus,19,Phellinus,torulosus,"Aproximadamente 17.600 resultados (0,55 segundos) ",17600
Phellinus trivialis,19,Phellinus,trivialis,"Aproximadamente 50.900 resultados (0,39 segundos) ",50900
Phellodon confluens,19,Phellodon,confluens,"Aproximadamente 25.800 resultados (0,40 segundos) ",25800
Plectania melastoma,19,Plectania,melastoma,"Aproximadamente 52.000 resultados (0,45 segundos) ",52000
Pleurotus ostreatus,19,Pleurotus,ostreatus,"Aproximadamente 1.070.000 resultados (0,51 segundos) ",1070
Pluteus pouzarianus,19,Pluteus,pouzarianus,"Aproximadamente 7.790 resultados (0,37 segundos) ",7790
Polyporus squamosus,19,Polyporus,squamosus,"Aproximadamente 169.000 resultados (0,39 segundos) ",169000
Polyporus tunetanus,19,Polyporus,tunetanus,"Aproximadamente 1.370 resultados (0,41 segundos) ",1370
Psathyrella pennata,19,Psathyrella,pennata,"Aproximadamente 56.700 resultados (0,39 segundos) ",56700
Psathyrella subnuda,19,Psathyrella,subnuda,"Aproximadamente 31.800 resultados (0,44 segundos) ",31800
Ramaria subbotrytis,19,Ramaria,subbotrytis,"Aproximadamente 44.300 resultados (0,47 segundos) ",44300
Rhizopogon luteolus,19,Rhizopogon,luteolus,"Aproximadamente 30.800 resultados (0,31 segundos) ",30800
Rhizopogon roseolus,19,Rhizopogon,roseolus,"Aproximadamente 30.500 resultados (0,39 segundos) ",30500
Rhizopogon vulgaris,19,Rhizopogon,vulgaris,"Aproximadamente 52.700 resultados (0,38 segundos) ",52700
Rhodocybe nitellina,19,Rhodocybe,nitellina,"Aproximadamente 6.720 resultados (0,45 segundos) ",6720
Rickenella swartzii,19,Rickenella,swartzii,"Aproximadamente 13.300 resultados (0,45 segundos) ",13300
Ripartites metrodii,19,Ripartites,metrodii,"Aproximadamente 2.970 resultados (0,35 segundos) ",2970
Russula amoenicolor,19,Russula,amoenicolor,"Aproximadamente 9.710 resultados (0,38 segundos) ",9710
Russula cyanoxantha,19,Russula,cyanoxantha,"Aproximadamente 72.900 resultados (0,35 segundos) ",72900
Russula krombholzii,19,Russula,krombholzii,"Aproximadamente 5.400 resultados (0,31 segundos) ",5400
Russula laurocerasi,19,Russula,laurocerasi,"Aproximadamente 16.500 resultados (0,39 segundos) ",16500
Russula quercilicis,19,Russula,quercilicis,"Aproximadamente 2.710 resultados (0,35 segundos) ",2710
Russula risigallina,19,Russula,risigallina,"Aproximadamente 16.100 resultados (0,38 segundos) ",16100
Russula xerampelina,19,Russula,xerampelina,"Aproximadamente 39.900 resultados (0,38 segundos) ",39900
Sarcodon imbricatus,19,Sarcodon,imbricatus,"Aproximadamente 43.800 resultados (0,36 segundos) ",43800
Sarcosphaera crassa,19,Sarcosphaera,crassa,"Aproximadamente 6.990 resultados (0,31 segundos) ",6990
Scleroderma bovista,19,Scleroderma,bovista,"Aproximadamente 233.000 resultados (0,41 segundos) ",233000
Scutiger pes-caprae,19,Scutiger,pes-caprae,"Aproximadamente 20.400 resultados (0,42 segundos) ",20400
Sebacina incrustans,19,Sebacina,incrustans,"Aproximadamente 19.800 resultados (0,36 segundos) ",19800
Sowerbyella rhenana,19,Sowerbyella,rhenana,"Aproximadamente 8.450 resultados (0,46 segundos) ",8450
Spathularia flavida,19,Spathularia,flavida,"Aproximadamente 44.100 resultados (0,63 segundos) ",44100
Stropharia caerulea,19,Stropharia,caerulea,"Aproximadamente 89.000 resultados (0,34 segundos) ",89000
Stropharia squamosa,19,Stropharia,squamosa,"Aproximadamente 75.700 resultados (0,36 segundos) ",75700
Suillellus dupainii,19,Suillellus,dupainii,"Aproximadamente 2.370 resultados (0,43 segundos) ",2370
Suillellus queletii,19,Suillellus,queletii,"Aproximadamente 11.400 resultados (0,39 segundos) ",11400
Tectella patellaris,19,Tectella,patellaris,"Aproximadamente 10.500 resultados (0,37 segundos) ",10500
Terfezia leptoderma,19,Terfezia,leptoderma,"Aproximadamente 5.880 resultados (0,42 segundos) ",5880
Torrendia pulchella,19,Torrendia,pulchella,"Aproximadamente 3.780 resultados (0,56 segundos) ",3780
Trametes versicolor,19,Trametes,versicolor,"Aproximadamente 736.000 resultados (0,47 segundos) ",736000
Tremella fuciformis,19,Tremella,fuciformis,"Aproximadamente 348.000 resultados (0,71 segundos) ",348000
Tricholoma boudieri,19,Tricholoma,boudieri,"Aproximadamente 17.800 resultados (0,46 segundos) ",17800
Tricholoma bufonium,19,Tricholoma,bufonium,"Aproximadamente 7.740 resultados (0,35 segundos) ",7740
Tricholoma colossus,19,Tricholoma,colossus,"Aproximadamente 13.200 resultados (0,41 segundos) ",13200
Tricholoma equestre,19,Tricholoma,equestre,"Aproximadamente 57.700 resultados (0,42 segundos) ",57700
Tricholoma lascivum,19,Tricholoma,lascivum,"Aproximadamente 19.700 resultados (0,39 segundos) ",19700
Tricholoma myomyces,19,Tricholoma,myomyces,"Aproximadamente 19.100 resultados (0,52 segundos) ",19100
Tricholoma pardinum,19,Tricholoma,pardinum,"Aproximadamente 189.000 resultados (0,40 segundos) ",189000
Tricholoma vaccinum,19,Tricholoma,vaccinum,"Aproximadamente 144.000 resultados (0,50 segundos) ",144000
Tricholoma virgatum,19,Tricholoma,virgatum,"Aproximadamente 28.900 resultados (0,33 segundos) ",28900
Tyromyces stipticus,19,Tyromyces,stipticus,"Aproximadamente 11.800 resultados (0,28 segundos) ",11800
Agaricus brunnescens,20,Agaricus,brunnescens,"Aproximadamente 30.900 resultados (0,42 segundos) ",30900
Agaricus macrocarpus,20,Agaricus,macrocarpus,"Aproximadamente 66.800 resultados (0,39 segundos) ",66800
Agaricus macrosporus,20,Agaricus,macrosporus,"Aproximadamente 18.200 resultados (0,40 segundos) ",18200
Agaricus porphyrizon,20,Agaricus,porphyrizon,"Aproximadamente 14.300 resultados (0,58 segundos) ",14300
Agaricus purpurellus,20,Agaricus,purpurellus,"Aproximadamente 6.390 resultados (0,37 segundos) ",6390
Agaricus xanthoderma,20,Agaricus,xanthoderma,"Aproximadamente 20.300 resultados (0,37 segundos) ",20300
Amanita heterochroma,20,Amanita,heterochroma,"Aproximadamente 249.000 resultados (0,35 segundos) ",249000
Amanita ibotengutake,20,Amanita,ibotengutake,"Aproximadamente 3.580 resultados (0,38 segundos) ",3580
Amanita magnivolvata,20,Amanita,magnivolvata,"Aproximadamente 18.200 resultados (0,41 segundos) ",18200
Amanita parcivolvata,20,Amanita,parcivolvata,"Aproximadamente 47.100 resultados (0,38 segundos) ",47100
Amanita rubrovolvata,20,Amanita,rubrovolvata,"Aproximadamente 7.710 resultados (0,41 segundos) ",7710
Amanita subfrostiana,20,Amanita,subfrostiana,"Aproximadamente 1.070 resultados (0,35 segundos) ",1070
Amanita umbrinolutea,20,Amanita,umbrinolutea,"Aproximadamente 8.820 resultados (0,37 segundos) ",8820
Amanita viscidolutea,20,Amanita,viscidolutea,"Aproximadamente 1.750 resultados (0,44 segundos) ",1750
Anthracobia melaloma,20,Anthracobia,melaloma,"Aproximadamente 14.000 resultados (0,47 segundos) ",14000
Arachnion lloydianum,20,Arachnion,lloydianum,"Aproximadamente 1.380 resultados (0,39 segundos) ",1380
Armillaria tabescens,20,Armillaria,tabescens,"Aproximadamente 35.600 resultados (0,41 segundos) ",35600
Ascocoryne sarcoides,20,Ascocoryne,sarcoides,"Aproximadamente 41.800 resultados (0,36 segundos) ",41800
Ascotremella faginea,20,Ascotremella,faginea,"Aproximadamente 25.600 resultados (0,40 segundos) ",25600
Auriscalpium vulgare,20,Auriscalpium,vulgare,"Aproximadamente 36.000 resultados (0,61 segundos) ",36000
Battarrea phalloides,20,Battarrea,phalloides,"Aproximadamente 9.670 resultados (0,50 segundos) ",9670
Bolbitius vitellinus,20,Bolbitius,vitellinus,"Aproximadamente 32.700 resultados (0,43 segundos) ",32700
Boletus luteocupreus,20,Boletus,luteocupreus,"Aproximadamente 9.750 resultados (0,38 segundos) ",9750
Boletus pseudoregius,20,Boletus,pseudoregius,"Aproximadamente 12.700 resultados (0,37 segundos) ",12700
Boletus rhodoxanthus,20,Boletus,rhodoxanthus,"Aproximadamente 38.500 resultados (0,42 segundos) ",38500
Boletus roseoalbidus,20,Boletus,roseoalbidus,"Aproximadamente 3.290 resultados (0,35 segundos) ",3290
Butyriboletus regius,20,Butyriboletus,regius,"Aproximadamente 21.200 resultados (0,38 segundos) ",21200
Byssomerulius corium,20,Byssomerulius,corium,"Aproximadamente 11.800 resultados (0,50 segundos) ",11800
Caloboletus radicans,20,Caloboletus,radicans,"Aproximadamente 22.000 resultados (0,43 segundos) ",22000
Camarophyllus lacmus,20,Camarophyllus,lacmus,"Aproximadamente 12.700 resultados (0,39 segundos) ",12700
Camarophyllus niveus,20,Camarophyllus,niveus,"Aproximadamente 66.400 resultados (0,45 segundos) ",66400
Cantharellus friesii,20,Cantharellus,friesii,"Aproximadamente 57.400 resultados (0,35 segundos) ",57400
Cerioporus corylinus,20,Cerioporus,corylinus,"Aproximadamente 419 resultados (0,51 segundos) ",0
Cerioporus squamosus,20,Cerioporus,squamosus,"Aproximadamente 56.400 resultados (0,37 segundos) ",56400
Cerocorticium molare,20,Cerocorticium,molare,"Aproximadamente 4.830 resultados (0,39 segundos) ",4830
Chamaemyces fracidus,20,Chamaemyces,fracidus,"Aproximadamente 9.030 resultados (0,38 segundos) ",9030
Cheilymenia fimicola,20,Cheilymenia,fimicola,"Aproximadamente 7.990 resultados (0,37 segundos) ",7990
Choiromyces magnusii,20,Choiromyces,magnusii,"Aproximadamente 3.820 resultados (0,45 segundos) ",3820
Chroogomphus rutilus,20,Chroogomphus,rutilus,"Aproximadamente 36.400 resultados (0,49 segundos) ",36400
Clitocella popinalis,20,Clitocella,popinalis,"Aproximadamente 2.200 resultados (0,47 segundos) ",2200
Clitocybe amoenolens,20,Clitocybe,amoenolens,"Aproximadamente 25.300 resultados (0,47 segundos) ",25300
Clitocybe barbularum,20,Clitocybe,barbularum,"Aproximadamente 4.470 resultados (0,54 segundos) ",4470
Clitocybe ericetorum,20,Clitocybe,ericetorum,"Aproximadamente 17.700 resultados (0,38 segundos) ",17700
Clitocybe gracilipes,20,Clitocybe,gracilipes,"Aproximadamente 3.860 resultados (0,38 segundos) ",3860
Clitocybe squamulosa,20,Clitocybe,squamulosa,"Aproximadamente 17.000 resultados (0,37 segundos) ",17000
Clitocybe umbilicata,20,Clitocybe,umbilicata,"Aproximadamente 5.490 resultados (0,49 segundos) ",5490
Collybia filamentosa,20,Collybia,filamentosa,"Aproximadamente 50.400 resultados (0,40 segundos) ",50400
Collybia kuehneriana,20,Collybia,kuehneriana,"Aproximadamente 5.230 resultados (0,35 segundos) ",5230
Collybia platyphylla,20,Collybia,platyphylla,"Aproximadamente 68.900 resultados (0,35 segundos) ",68900
Coprinellus micaceus,20,Coprinellus,micaceus,"Aproximadamente 103.000 resultados (0,38 segundos) ",103000
Coprinopsis alopecia,20,Coprinopsis,alopecia,"Aproximadamente 6.810 resultados (0,41 segundos) ",6810
Cordyceps canadensis,20,Cordyceps,canadensis,"Aproximadamente 373.000 resultados (0,50 segundos) ",373000
Cortinarius anomalus,20,Cortinarius,anomalus,"Aproximadamente 23.200 resultados (0,35 segundos) ",23200
Cortinarius assiduus,20,Cortinarius,assiduus,"Aproximadamente 5.650 resultados (0,36 segundos) ",5650
Cortinarius brunneus,20,Cortinarius,brunneus,"Aproximadamente 46.700 resultados (0,34 segundos) ",46700
Cortinarius cotoneus,20,Cortinarius,cotoneus,"Aproximadamente 12.800 resultados (0,36 segundos) ",12800
Cortinarius cruentus,20,Cortinarius,cruentus,"Aproximadamente 44.700 resultados (0,39 segundos) ",44700
Cortinarius cyanites,20,Cortinarius,cyanites,"Aproximadamente 55.700 resultados (0,40 segundos) ",55700
Cortinarius dibaphus,20,Cortinarius,dibaphus,"Aproximadamente 7.950 resultados (0,35 segundos) ",7950
Cortinarius eburneus,20,Cortinarius,eburneus,"Aproximadamente 29.600 resultados (0,44 segundos) ",29600
Cortinarius gentilis,20,Cortinarius,gentilis,"Aproximadamente 24.900 resultados (0,33 segundos) ",24900
Cortinarius humicola,20,Cortinarius,humicola,"Aproximadamente 10.200 resultados (0,37 segundos) ",10200
Cortinarius limonius,20,Cortinarius,limonius,"Aproximadamente 277.000 resultados (0,67 segundos) ",277000
Cortinarius mirandus,20,Cortinarius,mirandus,"Aproximadamente 937 resultados (0,36 segundos) ",0
Cortinarius odoratus,20,Cortinarius,odoratus,"Aproximadamente 55.800 resultados (0,43 segundos) ",55800
Cortinarius odorifer,20,Cortinarius,odorifer,"Aproximadamente 24.000 resultados (0,38 segundos) ",24000
Cortinarius percomis,20,Cortinarius,percomis,"Aproximadamente 10.200 resultados (0,41 segundos) ",10200
Cortinarius rapaceus,20,Cortinarius,rapaceus,"Aproximadamente 19.600 resultados (0,35 segundos) ",19600
Cortinarius tubarius,20,Cortinarius,tubarius,"Aproximadamente 5.170 resultados (0,36 segundos) ",5170
Cortinarius turgidus,20,Cortinarius,turgidus,"Aproximadamente 49.800 resultados (0,39 segundos) ",49800
Cortinarius turmalis,20,Cortinarius,turmalis,"Aproximadamente 6.030 resultados (0,38 segundos) ",6030
Cortinarius volvatus,20,Cortinarius,volvatus,"Aproximadamente 15.200 resultados (0,45 segundos) ",15200
Cortinarius vulpinus,20,Cortinarius,vulpinus,"Aproximadamente 78.900 resultados (0,36 segundos) ",78900
Craterellus sinuosus,20,Craterellus,sinuosus,"Aproximadamente 37.700 resultados (0,38 segundos) ",37700
Creolophus cirrhatus,20,Creolophus,cirrhatus,"Aproximadamente 10.500 resultados (0,51 segundos) ",10500
Crinipellis scabella,20,Crinipellis,scabella,"Aproximadamente 59.100 resultados (0,43 segundos) ",59100
Cystolepiota hetieri,20,Cystolepiota,hetieri,"Aproximadamente 15.700 resultados (0,45 segundos) ",15700
Dacrymyces stillatus,20,Dacrymyces,stillatus,"Aproximadamente 24.400 resultados (0,37 segundos) ",24400
Daldinia concentrica,20,Daldinia,concentrica,"Aproximadamente 97.300 resultados (0,34 segundos) ",97300
Delicatula cuspidata,20,Delicatula,cuspidata,"Aproximadamente 65.200 resultados (0,32 segundos) ",65200
Dermocybe cinnamomea,20,Dermocybe,cinnamomea,"Aproximadamente 70.000 resultados (0,34 segundos) ",70000
Diatrype disciformis,20,Diatrype,disciformis,"Aproximadamente 14.900 resultados (0,31 segundos) ",14900
Diatrypella quercina,20,Diatrypella,quercina,"Aproximadamente 15.400 resultados (0,46 segundos) ",15400
Elaphomyces citrinus,20,Elaphomyces,citrinus,"Aproximadamente 46.400 resultados (0,48 segundos) ",46400
Elaphomyces foetidus,20,Elaphomyces,foetidus,"Aproximadamente 6.460 resultados (0,33 segundos) ",6460
Entoloma conferendum,20,Entoloma,conferendum,"Aproximadamente 8.710 resultados (0,34 segundos) ",8710
Entoloma prunuloides,20,Entoloma,prunuloides,"Aproximadamente 12.700 resultados (0,43 segundos) ",12700
Entoloma rhodopolium,20,Entoloma,rhodopolium,"Aproximadamente 30.700 resultados (0,45 segundos) ",30700
Flammulina velutipes,20,Flammulina,velutipes,"Aproximadamente 413.000 resultados (0,39 segundos) ",413000
Ganoderma applanatum,20,Ganoderma,applanatum,"Aproximadamente 314.000 resultados (0,42 segundos) ",314000
Ganoderma resinaceum,20,Ganoderma,resinaceum,"Aproximadamente 33.800 resultados (0,41 segundos) ",33800
Gautieria graveolens,20,Gautieria,graveolens,"Aproximadamente 5.320 resultados (0,51 segundos) ",5320
Geastrum quadrifidum,20,Geastrum,quadrifidum,"Aproximadamente 32.000 resultados (0,40 segundos) ",32000
Gliophorus irrigatas,20,Gliophorus,irrigatas,"Aproximadamente 3.490 resultados (0,61 segundos) ",3490
Gomphidius maculatus,20,Gomphidius,maculatus,"Aproximadamente 12.700 resultados (0,37 segundos) ",12700
Guepiniopsis buccina,20,Guepiniopsis,buccina,"Aproximadamente 9.620 resultados (0,46 segundos) ",9620
Gymnopilus penetrans,20,Gymnopilus,penetrans,"Aproximadamente 84.400 resultados (0,41 segundos) ",84400
Gymnopus androsaceus,20,Gymnopus,androsaceus,"Aproximadamente 142.000 resultados (0,36 segundos) ",142000
Gyrophragmium dunaii,20,Gyrophragmium,dunaii,"Aproximadamente 866 resultados (0,35 segundos) ",0
Gyroporus cyanescens,20,Gyroporus,cyanescens,"Aproximadamente 48.800 resultados (0,48 segundos) ",48800
Hapalopilus nidulans,20,Hapalopilus,nidulans,"Aproximadamente 18.000 resultados (0,47 segundos) ",18000
Hapalopilus rutilans,20,Hapalopilus,rutilans,"Aproximadamente 27.200 resultados (0,40 segundos) ",27200
Hebeloma cistophilum,20,Hebeloma,cistophilum,"Aproximadamente 4.130 resultados (0,80 segundos) ",4130
Hebeloma longicaudum,20,Hebeloma,longicaudum,"Aproximadamente 49.200 resultados (0,40 segundos) ",49200
Helvella pithyophila,20,Helvella,pithyophila,"Aproximadamente 5.670 resultados (0,44 segundos) ",5670
Hemimycena cucullata,20,Hemimycena,cucullata,"Aproximadamente 8.710 resultados (0,39 segundos) ",8710
Hericium coralloides,20,Hericium,coralloides,"Aproximadamente 86.500 resultados (0,45 segundos) ",86500
Hydnellum suaveolens,20,Hydnellum,suaveolens,"Aproximadamente 76.900 resultados (0,39 segundos) ",76900
Hygrocybe conicoides,20,Hygrocybe,conicoides,"Aproximadamente 9.540 resultados (0,36 segundos) ",9540
Hygrocybe flavescens,20,Hygrocybe,flavescens,"Aproximadamente 139.000 resultados (0,37 segundos) ",139000
Hygrocybe intermedia,20,Hygrocybe,intermedia,"Aproximadamente 66.000 resultados (0,38 segundos) ",66000
Hygrocybe persistens,20,Hygrocybe,persistens,"Aproximadamente 38.800 resultados (0,49 segundos) ",38800
Hygrocybe psittacina,20,Hygrocybe,psittacina,"Aproximadamente 55.000 resultados (0,76 segundos) ",55000
Hygrophorus eburneus,20,Hygrophorus,eburneus,"Aproximadamente 48.400 resultados (0,38 segundos) ",48400
Hygrophorus melizeus,20,Hygrophorus,melizeus,"Aproximadamente 3.400 resultados (0,35 segundos) ",3400
Hygrophorus nemoreus,20,Hygrophorus,nemoreus,"Aproximadamente 13.600 resultados (0,40 segundos) ",13600
Hygrophorus penarius,20,Hygrophorus,penarius,"Aproximadamente 16.300 resultados (0,57 segundos) ",16300
Hygrophorus poetarum,20,Hygrophorus,poetarum,"Aproximadamente 22.100 resultados (0,43 segundos) ",22100
Hymenogaster griseus,20,Hymenogaster,griseus,"Aproximadamente 4.160 resultados (0,45 segundos) ",4160
Hypholoma lateritium,20,Hypholoma,lateritium,"Aproximadamente 117.000 resultados (0,44 segundos) ",117000
Hypholoma marginatum,20,Hypholoma,marginatum,"Aproximadamente 20.300 resultados (0,38 segundos) ",20300
Hypomyces lateritius,20,Hypomyces,lateritius,"Aproximadamente 19.100 resultados (0,41 segundos) ",19100
Hypoxylon fragiforme,20,Hypoxylon,fragiforme,"Aproximadamente 54.700 resultados (0,35 segundos) ",54700
Hypoxylon multiforme,20,Hypoxylon,multiforme,"Aproximadamente 42.500 resultados (0,38 segundos) ",42500
Hypsizygus marmoreus,20,Hypsizygus,marmoreus,"Aproximadamente 96.500 resultados (0,56 segundos) ",96500
Inocybe calamistrata,20,Inocybe,calamistrata,"Aproximadamente 17.800 resultados (0,40 segundos) ",17800
Iodophanus testaceus,20,Iodophanus,testaceus,"Aproximadamente 2.800 resultados (0,35 segundos) ",2800
Kretzschmaria deusta,20,Kretzschmaria,deusta,"Aproximadamente 85.500 resultados (0,36 segundos) ",85500
Laccaria amethystina,20,Laccaria,amethystina,"Aproximadamente 154.000 resultados (0,38 segundos) ",154000
Lactarius atlanticus,20,Lactarius,atlanticus,"Aproximadamente 78.800 resultados (0,40 segundos) ",78800
Lactarius citriolens,20,Lactarius,citriolens,"Aproximadamente 12.700 resultados (0,46 segundos) ",12700
Lactarius deliciosus,20,Lactarius,deliciosus,"Aproximadamente 210.000 resultados (0,56 segundos) ",210000
Lactarius deterrimus,20,Lactarius,deterrimus,"Aproximadamente 56.600 resultados (0,36 segundos) ",56600
Lactarius glyciosmus,20,Lactarius,glyciosmus,"Aproximadamente 33.300 resultados (0,42 segundos) ",33300
Lactarius mitissimus,20,Lactarius,mitissimus,"Aproximadamente 14.800 resultados (0,40 segundos) ",14800
Lactarius pergamenus,20,Lactarius,pergamenus,"Aproximadamente 12.300 resultados (0,36 segundos) ",12300
Lactarius spinosulus,20,Lactarius,spinosulus,"Aproximadamente 18.800 resultados (0,36 segundos) ",18800
Lactarius torminosus,20,Lactarius,torminosus,"Aproximadamente 89.900 resultados (0,34 segundos) ",89900
Lactarius violascens,20,Lactarius,violascens,"Aproximadamente 68.200 resultados (0,68 segundos) ",68200
Leccinum aurantiacum,20,Leccinum,aurantiacum,"Aproximadamente 102.000 resultados (0,34 segundos) ",102000
Leccinum crocipodium,20,Leccinum,crocipodium,"Aproximadamente 11.000 resultados (0,32 segundos) ",11000
Leccinum diurusculum,20,Leccinum,diurusculum,"Aproximadamente 1.110 resultados (0,41 segundos) ",1110
Leccinum versipellis,20,Leccinum,versipellis,"Aproximadamente 8.310 resultados (0,37 segundos) ",8310
Lentinellus vulpinus,20,Lentinellus,vulpinus,"Aproximadamente 53.200 resultados (0,36 segundos) ",53200
Lepiota clypeolearia,20,Lepiota,clypeolearia,"Aproximadamente 1.490 resultados (0,40 segundos) ",1490
Lepiota forguignonii,20,Lepiota,forguignonii,"10 resultados (0,33 segundos) ",0
Lepiota oreadiformis,20,Lepiota,oreadiformis,"Aproximadamente 9.890 resultados (0,38 segundos) ",9890
Lepiota xanthophylla,20,Lepiota,xanthophylla,"Aproximadamente 6.130 resultados (0,39 segundos) ",6130
Leucoagaricus sereno,20,Leucoagaricus,sereno,"Aproximadamente 1.230 resultados (0,30 segundos) ",1230
Leucopaxillus amarus,20,Leucopaxillus,amarus,"Aproximadamente 6.030 resultados (0,36 segundos) ",6030
Leucoscypha patavina,20,Leucoscypha,patavina,"Aproximadamente 11.900 resultados (0,43 segundos) ",11900
Loculotuber gennadii,20,Loculotuber,gennadii,"Aproximadamente 1.490 resultados (0,37 segundos) ",1490
Loweomyces fractipes,20,Loweomyces,fractipes,"Aproximadamente 2.720 resultados (0,53 segundos) ",2720
Lycoperdon echinatum,20,Lycoperdon,echinatum,"Aproximadamente 75.600 resultados (0,38 segundos) ",75600
Lycoperdon ericaceum,20,Lycoperdon,ericaceum,"Aproximadamente 1.570 resultados (0,40 segundos) ",1570
Lycoperdon pyriforme,20,Lycoperdon,pyriforme,"Aproximadamente 125.000 resultados (0,46 segundos) ",125000
Lycoperdon utriforme,20,Lycoperdon,utriforme,"Aproximadamente 65.700 resultados (0,33 segundos) ",65700
Lyophyllum infumatum,20,Lyophyllum,infumatum,"Aproximadamente 2.630 resultados (0,32 segundos) ",2630
Lyophyllum loricatum,20,Lyophyllum,loricatum,"Aproximadamente 12.000 resultados (0,39 segundos) ",12000
Macrolepiota affinis,20,Macrolepiota,affinis,"Aproximadamente 58.900 resultados (0,34 segundos) ",58900
Macrolepiota procera,20,Macrolepiota,procera,"Aproximadamente 320.000 resultados (0,41 segundos) ",320000
Marasmius epiphyllus,20,Marasmius,epiphyllus,"Aproximadamente 110.000 resultados (0,33 segundos) ",110000
Melanoleuca brevipes,20,Melanoleuca,brevipes,"Aproximadamente 90.000 resultados (0,34 segundos) ",90000
Melanoleuca vulgaris,20,Melanoleuca,vulgaris,"Aproximadamente 151.000 resultados (0,31 segundos) ",151000
Merulius tremellosus,20,Merulius,tremellosus,"Aproximadamente 24.200 resultados (0,34 segundos) ",24200
Microglossum nudipes,20,Microglossum,nudipes,"Aproximadamente 2.740 resultados (0,33 segundos) ",2740
Micromphale foetidum,20,Micromphale,foetidum,"Aproximadamente 12.800 resultados (0,44 segundos) ",12800
Morchella semilibera,20,Morchella,semilibera,"Aproximadamente 49.800 resultados (0,63 segundos) ",49800
Myriostoma coliforme,20,Myriostoma,coliforme,"Aproximadamente 21.700 resultados (0,51 segundos) ",21700
Omphalotus japonicus,20,Omphalotus,japonicus,"Aproximadamente 21.500 resultados (0,48 segundos) ",21500
Oudemansiella mucida,20,Oudemansiella,mucida,"Aproximadamente 61.500 resultados (0,50 segundos) ",61500
Panaeolus acuminatus,20,Panaeolus,acuminatus,"Aproximadamente 18.000 resultados (0,37 segundos) ",18000
Panaeolus semiovatus,20,Panaeolus,semiovatus,"Aproximadamente 15.500 resultados (0,44 segundos) ",15500
Paralepista flaccida,20,Paralepista,flaccida,"Aproximadamente 7.820 resultados (0,47 segundos) ",7820
Peroneutypa scoparia,20,Peroneutypa,scoparia,"Aproximadamente 6.420 resultados (0,60 segundos) ",6420
Phellodon tomentosus,20,Phellodon,tomentosus,"Aproximadamente 20.000 resultados (0,41 segundos) ",20000
Pholiota tuberculosa,20,Pholiota,tuberculosa,"Aproximadamente 290.000 resultados (0,39 segundos) ",290000
Physarum leucophaeum,20,Physarum,leucophaeum,"Aproximadamente 59.600 resultados (0,35 segundos) ",59600
